year	agency	locality	industry	funding
2012	ALL	Virginia Beach	WIRED TELECOMMUNICATIONS CARRIERS	41541
2013	Dept of Defense	ALL	ELECTRONIC CONNECTOR MANUFACTURING	1675646.82
2013	ALL	Chesapeake	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	275572.75
2013	Dept of Defense	ALL	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	3806782.38
2012	ALL	Virginia Beach	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	1908163.15
2011	ALL	Hampton	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	27385
2012	Dept of Transportation	ALL	WATER SUPPLY AND IRRIGATION SYSTEMS	20067
2012	ALL	Newport News	ALL OTHER INFORMATION SERVICES	30085
2012	ALL	ALL	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	972157.2
2011	ALL	ALL	WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION	1643671
2012	ALL	ALL	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	102000
2013	ALL	Hampton	SHIP BUILDING AND REPAIRING	2238649.18
2013	ALL	Virginia Beach	INDUSTRIAL BUILDING CONSTRUCTION	79812
2014	ALL	ALL	REMEDIATION SERVICES	1492738.54
2014	ALL	Norfolk	ALL OTHER SUPPORT SERVICES	294169
2014	ALL	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	2452160.57
2012	ALL	Chesapeake	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	60962
2011	ALL	Newport News	COMPUTER SYSTEMS DESIGN SERVICES	70633.92
2011	ALL	York	FACILITIES SUPPORT SERVICES	722000
2012	ALL	Virginia Beach	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	1140090
2011	ALL	Norfolk	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	469652.81
2014	ALL	ALL	OTHER ELECTRONIC COMPONENT MANUFACTURING	42600
2012	Dept of Homeland Security	ALL	ENGINEERING SERVICES	543390.34
2013	ALL	Virginia Beach	OTHER ELECTRONIC COMPONENT MANUFACTURING	59100
2014	Dept of Defense	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	110056.34
2012	Dept of Defense	Portsmouth	ALL	6748813.60
2014	ALL	Gloucester	ALL	-4184.8
2013	ALL	Poquoson	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	120877.72
2013	ALL	Virginia Beach	FACILITIES SUPPORT SERVICES	254700.12
2013	ALL	ALL	OTHER BUILDING EQUIPMENT CONTRACTORS	32758.92
2013	ALL	Virginia Beach	ENGINEERING SERVICES	25403586.11
2013	ALL	ALL	MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING	857544.40
2011	Dept of Defense	ALL	ALL OTHER MOTOR VEHICLE DEALERS	17980902
2013	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	398965
2013	ALL	Norfolk	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	1458738.62
2011	ALL	Chesapeake	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	737468
2014	ALL	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	2869817.12
2012	ALL	ALL	ALL	369228141.11
2012	ALL	Norfolk	CUSTOM COMPUTER PROGRAMMING SERVICES	16141
2013	ALL	ALL	OTHER ELECTRONIC COMPONENT MANUFACTURING	93960
2013	Dept of Defense	ALL	FACILITIES SUPPORT SERVICES	4549577.97
2014	Dept of Defense	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	3342245.21
2014	ALL	ALL	ELECTRONIC COMPUTER MANUFACTURING	669230
2013	ALL	Newport News	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	5315730.23
2012	ALL	Hampton	OTHER COMPUTER RELATED SERVICES	1614188.38
2013	ALL	Portsmouth	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	36143778.80
2012	National Aeronautics and Space Administration	Virginia Beach	ALL	885194.04
2012	ALL	ALL	OTHER WAREHOUSING AND STORAGE	77680.7
2014	Dept of Defense	Portsmouth	ALL	940231488.99
2011	Dept of Defense	ALL	OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING	5933.72
2013	National Aeronautics and Space Administration	Williamsburg	ALL	427147.89
2011	ALL	ALL	FACILITIES SUPPORT SERVICES	722000
2014	Dept of Commerce	ALL	ALL	21815.2
2013	Dept of Defense	ALL	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	3109441.15
2012	ALL	Newport News	CUSTOM COMPUTER PROGRAMMING SERVICES	99394
2014	ALL	Virginia Beach	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	766205.14
2014	National Aeronautics and Space Administration	Hampton	ALL	4693227.44
2014	ALL	ALL	SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS	38500
2014	Dept of Homeland Security	Portsmouth	ALL	967443.34
2011	ALL	Portsmouth	ENGINEERING SERVICES	1292482.37
2014	Dept of Commerce	Gloucester	ALL	-4184.8
2012	ALL	ALL	INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS	222835.40
2012	ALL	Virginia Beach	OTHER WAREHOUSING AND STORAGE	77680.7
2012	ALL	Williamsburg	ALL	1306066
2011	ALL	ALL	INDUSTRIAL BUILDING CONSTRUCTION	248608
2013	Dept of Commerce	ALL	ALL	43395
2014	Dept of Defense	Virginia Beach	ALL	78730969.46
2013	ALL	ALL	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	86149
2014	Dept of Defense	ALL	FACILITIES SUPPORT SERVICES	256189.67
2014	Dept of Transportation	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	203333
2014	ALL	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	17523166.84
2011	Dept of Defense	ALL	COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE	675877.07
2011	Dept of Defense	ALL	TELEPHONE APPARATUS MANUFACTURING	2268244.04
2011	ALL	Suffolk	ALL	1679124.86
2011	ALL	York	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	1145253.5
2011	Dept of Veterans Affairs	ALL	COMPUTER SYSTEMS DESIGN SERVICES	199049.76
2012	Dept of Homeland Security	Norfolk	ALL	337628.3
2011	ALL	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	8199283.34
2013	ALL	ALL	OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING	49871.4
2014	ALL	Williamsburg	FLIGHT TRAINING	4046012
2012	ALL	Virginia Beach	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	822670
2013	ALL	Newport News	CUSTOM COMPUTER PROGRAMMING SERVICES	62196.66
2013	Dept of Defense	ALL	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	7475154.79
2011	Dept of Homeland Security	ALL	COMPUTER SYSTEMS DESIGN SERVICES	54716
2013	Dept of Defense	Suffolk	ALL	890964.52
2012	ALL	Hampton	ELECTRONIC CONNECTOR MANUFACTURING	184482.4
2012	ALL	Norfolk	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	1065960
2011	ALL	Portsmouth	COMPUTER SYSTEMS DESIGN SERVICES	108682
2014	Dept of Defense	ALL	ARCHITECTURAL SERVICES	363282
2011	Dept of Health and Human Services	ALL	ALL	357612
2013	ALL	Chesapeake	INDUSTRIAL BUILDING CONSTRUCTION	81000
2013	ALL	Virginia Beach	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	11596712.09
2012	Dept of Defense	Newport News	ALL	37592651.17
2011	National Aeronautics and Space Administration	York	ALL	3455362.56
2012	Dept of Defense	ALL	SMALL ARMS MANUFACTURING	178836.18
2012	ALL	Hampton	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	145843.2
2013	Dept of Homeland Security	York	ALL	7373246
2013	ALL	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	398965
2014	Dept of Defense	ALL	COMPUTER FACILITIES MANAGEMENT SERVICES	564489.36
2014	ALL	Portsmouth	ALL	941198932.33
2011	National Aeronautics and Space Administration	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	61900
2012	ALL	Virginia Beach	TESTING LABORATORIES	32
2013	ALL	ALL	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	188241
2011	ALL	ALL	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	1235429.81
2011	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	2916012
2013	Dept of Defense	York	ALL	21044863.79
2014	ALL	Virginia Beach	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	97200
2013	National Aeronautics and Space Administration	Virginia Beach	ALL	681255
2011	ALL	Norfolk	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	375579.15
2014	National Aeronautics and Space Administration	ALL	ALL	5499554.44
2012	ALL	York	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	410429.8
2014	Dept of Defense	ALL	COMPUTER SYSTEMS DESIGN SERVICES	23383908.94
2011	ALL	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	26836765
2012	ALL	Portsmouth	ENGINEERING SERVICES	406000.72
2011	Dept of Homeland Security	ALL	ALL	54716
2013	Dept of Health and Human Services	Virginia Beach	ALL	581215.6
2012	Dept of Defense	ALL	REMEDIATION SERVICES	1672188.92
2012	ALL	Hampton	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	1235245.75
2012	ALL	ALL	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	1908163.15
2014	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	14372343.36
2013	ALL	ALL	INDUSTRIAL BUILDING CONSTRUCTION	256796.72
2012	ALL	Newport News	SHIP BUILDING AND REPAIRING	11566489.86
2013	Dept of Defense	ALL	OTHER BUILDING EQUIPMENT CONTRACTORS	32758.92
2013	ALL	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	41825245.35
2012	ALL	Suffolk	OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING	33002.71
2012	ALL	Portsmouth	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	126325
2013	National Aeronautics and Space Administration	Newport News	ALL	27896.86
2014	ALL	York	SHIP BUILDING AND REPAIRING	2187366.26
2011	ALL	Newport News	OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING	5933.72
2012	Dept of Homeland Security	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	541000
2013	Dept of Defense	ALL	INDUSTRIAL BUILDING CONSTRUCTION	256796.72
2012	ALL	Williamsburg	ENGINEERING SERVICES	1000000
2012	Dept of Defense	ALL	ENGINEERING SERVICES	36709595.81
2014	National Aeronautics and Space Administration	Williamsburg	ALL	185000
2012	ALL	Norfolk	WIRED TELECOMMUNICATIONS CARRIERS	180995
2013	ALL	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	3033165.32
2014	Dept of Defense	ALL	SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS	38500
2012	ALL	Williamsburg	ELECTRONIC COMPUTER MANUFACTURING	194408
2013	ALL	Chesapeake	ENGINEERING SERVICES	2492718.81
2013	ALL	ALL	TESTING LABORATORIES	511.55
2013	ALL	Norfolk	SHIP BUILDING AND REPAIRING	52955802.83
2014	ALL	ALL	TESTING LABORATORIES	-4184.8
2013	ALL	York	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	8512909.79
2014	Dept of Commerce	ALL	TESTING LABORATORIES	-4184.8
2014	ALL	ALL	PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES	1540700
2013	ALL	ALL	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	7475154.79
2011	ALL	ALL	DATA PROCESSING, HOSTING, AND RELATED SERVICES	111450
2013	Dept of State	ALL	ALL	495528.75
2012	ALL	Portsmouth	ALL	6748813.60
2012	ALL	ALL	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	308998.6
2012	ALL	Portsmouth	COMPUTER SYSTEMS DESIGN SERVICES	105675
2014	ALL	Portsmouth	ENGINEERING SERVICES	1686126.36
2012	ALL	Norfolk	SHIP BUILDING AND REPAIRING	39544471.43
2014	ALL	Norfolk	ENGINEERING SERVICES	295811480.65
2012	ALL	Norfolk	ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING	38585.2
2012	Dept of Defense	ALL	TELEPHONE APPARATUS MANUFACTURING	15700
2011	ALL	ALL	BOOK PUBLISHERS	138922
2012	Dept of Defense	Virginia Beach	ALL	47516809.12
2014	ALL	Norfolk	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	1092815.51
2012	Dept of Treasury	Virginia Beach	ALL	77680.7
2014	ALL	Chesapeake	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	275572.75
2012	Dept of Defense	ALL	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	1908163.15
2011	Dept of Homeland Security	Virginia Beach	ALL	54716
2012	Dept of Defense	ALL	SHIP BUILDING AND REPAIRING	61166269.24
2014	ALL	Virginia Beach	OTHER ELECTRONIC COMPONENT MANUFACTURING	42600
2013	ALL	Virginia Beach	ALL	81093732.74
2012	ALL	Norfolk	ALL	221138753.48
2014	ALL	Norfolk	SHIP BUILDING AND REPAIRING	817685886.44
2013	ALL	Newport News	WIRED TELECOMMUNICATIONS CARRIERS	1313029.02
2011	ALL	Newport News	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	9011778.00
2012	ALL	Portsmouth	INDUSTRIAL BUILDING CONSTRUCTION	942297.91
2013	Dept of Defense	Chesapeake	ALL	44420772.48
2014	Dept of Homeland Security	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	212454.33
2012	Dept of Transportation	Newport News	ALL	20067
2014	ALL	York	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	2193880
2011	Dept of Health and Human Services	Virginia Beach	ALL	357612
2013	Dept of Defense	ALL	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	32215.04
2012	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	6812861
2013	ALL	Newport News	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	6069982.23
2012	ALL	Virginia Beach	INDUSTRIAL BUILDING CONSTRUCTION	762277
2014	ALL	Newport News	SHIP BUILDING AND REPAIRING	30179750.27
2012	ALL	ALL	RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES	270000
2012	ALL	ALL	GENERAL LINE GROCERY MERCHANT WHOLESALERS	9623.88
2012	ALL	ALL	TESTING LABORATORIES	92432
2014	National Aeronautics and Space Administration	ALL	COMPUTER SYSTEMS DESIGN SERVICES	2049980.96
2012	ALL	ALL	OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING	129875.48
2014	ALL	ALL	COMPUTER FACILITIES MANAGEMENT SERVICES	564489.36
2014	Dept of Defense	Williamsburg	ALL	8726792.99
2011	ALL	ALL	ALL	249688916.69
2012	ALL	Newport News	WATER SUPPLY AND IRRIGATION SYSTEMS	20067
2012	ALL	Newport News	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	15786747.23
2013	National Aeronautics and Space Administration	ALL	ENVIRONMENTAL CONSULTING SERVICES	353155
2012	ALL	ALL	WATER SUPPLY AND IRRIGATION SYSTEMS	20067
2013	Dept of Commerce	ALL	TESTING LABORATORIES	30
2011	ALL	Virginia Beach	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	28309
2011	ALL	Norfolk	ALL	45095530.97
2014	Dept of Defense	ALL	OTHER ELECTRONIC COMPONENT MANUFACTURING	42600
2013	ALL	Hampton	OTHER COMPUTER RELATED SERVICES	9320333.2
2011	ALL	Virginia Beach	POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION	1068220
2011	ALL	ALL	SOFTWARE PUBLISHERS	48739
2013	Dept of Defense	ALL	ARCHITECTURAL SERVICES	221493.75
2011	Dept of Defense	ALL	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	60000
2011	ALL	ALL	OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING	5933.72
2011	ALL	Hampton	ALL	77363265.53
2013	National Aeronautics and Space Administration	ALL	COMPUTER SYSTEMS DESIGN SERVICES	296199.11
2012	Dept of Treasury	ALL	ALL	77680.7
2012	Dept of Defense	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	412201.3
2014	Dept of Defense	ALL	ENGINEERING SERVICES	328113905.01
2011	ALL	Norfolk	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	7580034.16
2011	Dept of Defense	ALL	DATA PROCESSING, HOSTING, AND RELATED SERVICES	111450
2011	ALL	Virginia Beach	HIGHWAY, STREET, AND BRIDGE CONSTRUCTION	1153065.33
2013	Dept of Defense	Gloucester	ALL	328780.8
2012	ALL	Virginia Beach	INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS	182263.85
2011	ALL	Chesapeake	ALL	4654034.17
2012	ALL	Suffolk	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	222330.32
2013	ALL	Virginia Beach	OTHER BUILDING EQUIPMENT CONTRACTORS	32758.92
2013	Dept of Defense	Portsmouth	ALL	95194077.99
2011	ALL	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	2916012
2014	ALL	ALL	MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING	59666
2014	ALL	ALL	ENGINEERING SERVICES	328113905.01
2014	ALL	Virginia Beach	INDUSTRIAL BUILDING CONSTRUCTION	276467
2013	ALL	Norfolk	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	338656.04
2013	National Aeronautics and Space Administration	ALL	ALL	12651891.44
2011	ALL	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	20981614.68
2012	National Aeronautics and Space Administration	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	429000
2012	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	6732920.78
2014	ALL	Chesapeake	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	435277.92
2013	ALL	ALL	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	32215.04
2013	Dept of Defense	ALL	OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING	49871.4
2013	ALL	ALL	SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING	150005
2013	ALL	Newport News	ALL	75288557.73
2011	ALL	York	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	2224012
2011	ALL	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	21096842.99
2014	ALL	York	ENGINEERING SERVICES	716607.65
2012	ALL	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	412201.3
2011	Dept of Defense	ALL	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	892842.5
2011	Dept of Defense	ALL	ENGINEERING SERVICES	39827250.35
2013	ALL	ALL	OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION	1729276.84
2012	ALL	ALL	FOOD PRODUCT MACHINERY MANUFACTURING	18204.68
2014	ALL	ALL	ARCHITECTURAL SERVICES	363282
2013	Dept of Commerce	ALL	SHIP BUILDING AND REPAIRING	43365
2013	Dept of Health and Human Services	ALL	COMPUTER SYSTEMS DESIGN SERVICES	421318
2012	ALL	Hampton	RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES	270000
2014	Dept of Defense	ALL	ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING	1380360
2012	Dept of Defense	ALL	OTHER COMPUTER RELATED SERVICES	1350978.09
2012	Dept of Defense	ALL	FACILITIES SUPPORT SERVICES	380723.20
2014	Dept of Defense	ALL	MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING	59666
2013	Dept of Defense	ALL	OTHER ELECTRONIC COMPONENT MANUFACTURING	93960
2011	Dept of Defense	Suffolk	ALL	1679124.86
2014	ALL	Virginia Beach	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	555490.96
2013	ALL	Chesapeake	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	2784967.37
2011	Dept of Defense	ALL	WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION	1643671
2011	ALL	Hampton	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	8634965.80
2014	ALL	Norfolk	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	1074655.67
2014	ALL	Hampton	ALL	9184410.29
2011	Dept of Defense	ALL	ALL OTHER SPECIALTY TRADE CONTRACTORS	60508
2011	ALL	Norfolk	ELECTRONIC COMPUTER MANUFACTURING	1105072.09
2013	ALL	Hampton	ALL OTHER TELECOMMUNICATIONS	279250.9
2012	ALL	Newport News	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	3629895.79
2013	National Aeronautics and Space Administration	Norfolk	ALL	176554
2014	ALL	Williamsburg	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	4680780.99
2013	Dept of Defense	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	62196.66
2011	ALL	Norfolk	PUMP AND PUMPING EQUIPMENT MANUFACTURING	40460
2014	Dept of Homeland Security	Hampton	ALL	2560
2011	Environmental Protection Agency	ALL	COMPUTER SYSTEMS DESIGN SERVICES	558273.49
2014	Dept of Transportation	ALL	ALL	203333
2011	Dept of Defense	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	104940.67
2014	ALL	Newport News	FACILITIES SUPPORT SERVICES	96879.72
2011	ALL	Norfolk	BOOK PUBLISHERS	138922
2012	Dept of Defense	ALL	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	860218
2012	ALL	ALL	COMPUTER SYSTEMS DESIGN SERVICES	1863605.96
2011	ALL	ALL	CHILD AND YOUTH SERVICES	357612
2013	ALL	Portsmouth	ALL	112442819.96
2013	ALL	Chesapeake	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	2348043.76
2014	Dept of Defense	ALL	PUMP AND PUMPING EQUIPMENT MANUFACTURING	33495
2014	ALL	ALL	INDUSTRIAL BUILDING CONSTRUCTION	318867
2014	ALL	Newport News	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	9591856.6
2012	ALL	Chesapeake	ALL	13190436.26
2014	ALL	ALL	OTHER COMPUTER RELATED SERVICES	7602435.58
2011	Dept of Defense	ALL	WIRED TELECOMMUNICATIONS CARRIERS	321292
2013	Dept of Defense	ALL	INDUSTRIAL DESIGN SERVICES	48495
2013	ALL	Portsmouth	OTHER COMPUTER RELATED SERVICES	2877575.56
2011	ALL	Virginia Beach	CUSTOM COMPUTER PROGRAMMING SERVICES	25953230
2013	Dept of Homeland Security	ALL	TESTING LABORATORIES	481.55
2014	Dept of Defense	ALL	OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION	305542.5
2013	ALL	Hampton	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	4679821
2012	Dept of Defense	ALL	FOOD PRODUCT MACHINERY MANUFACTURING	18204.68
2013	ALL	Virginia Beach	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	12404574.27
2014	ALL	Williamsburg	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	185000
2012	Dept of Homeland Security	Virginia Beach	ALL	595748
2013	ALL	Virginia Beach	ALL OTHER SUPPORT SERVICES	1386636.54
2013	ALL	Williamsburg	ALL	823139.89
2014	ALL	Newport News	SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS	38500
2012	ALL	ALL	TELEPHONE APPARATUS MANUFACTURING	15700
2014	ALL	Norfolk	ELECTRONIC CONNECTOR MANUFACTURING	139082.78
2011	ALL	Norfolk	POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION	123896
2012	Dept of Defense	Chesapeake	ALL	13093282.18
2014	ALL	Hampton	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	141488.64
2011	National Aeronautics and Space Administration	Hampton	ALL	32279301.04
2014	Dept of Defense	ALL	SHIP BUILDING AND REPAIRING	2060737173.91
2013	ALL	Virginia Beach	SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING	107161.20
2013	Dept of Homeland Security	Newport News	ALL	57726
2014	Dept of Defense	ALL	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	857406.46
2014	ALL	Chesapeake	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	83837
2012	National Aeronautics and Space Administration	ALL	ALL	25572190.55
